ProductID	ProductID_Copurchased
4	96
4	90
4	79
4	74
4	73
4	57
4	55
4	53
4	45
4	42
4	39
4	29
4	27
4	24
4	23
4	19
4	16
4	14
4	12
4	8
8	96
8	90
8	79
8	74
8	73
8	57
8	55
8	53
8	45
8	42
8	39
8	29
8	27
8	24
8	23
8	19
8	16
8	14
8	12
8	4
12	96
12	90
12	79
12	74
12	73
12	57
12	55
12	53
12	45
12	42
12	39
12	29
12	27
12	24
12	23
12	19
12	16
12	14
12	8
12	4
14	96
14	90
14	79
14	74
14	73
14	57
14	55
14	53
14	45
14	42
14	39
14	29
14	27
14	24
14	23
14	19
14	16
14	12
14	8
14	4
16	96
16	90
16	79
16	74
16	73
16	57
16	55
16	53
16	45
16	42
16	39
16	29
16	27
16	24
16	23
16	19
16	14
16	12
16	8
16	4
19	96
19	90
19	79
19	74
19	73
19	57
19	55
19	53
19	45
19	42
19	39
19	29
19	27
19	24
19	23
19	16
19	14
19	12
19	8
19	4
23	96
23	90
23	79
23	74
23	73
23	57
23	55
23	53
23	45
23	42
23	39
23	29
23	27
23	24
23	19
23	16
23	14
23	12
23	8
23	4
24	96
24	90
24	79
24	74
24	73
24	57
24	55
24	53
24	45
24	42
24	39
24	29
24	27
24	23
24	19
24	16
24	14
24	12
24	8
24	4
27	96
27	90
27	79
27	74
27	73
27	57
27	55
27	53
27	45
27	42
27	39
27	29
27	24
27	23
27	19
27	16
27	14
27	12
27	8
27	4
29	96
29	90
29	79
29	74
29	73
29	57
29	55
29	53
29	45
29	42
29	39
29	27
29	24
29	23
29	19
29	16
29	14
29	12
29	8
29	4
39	96
39	90
39	79
39	74
39	73
39	57
39	55
39	53
39	45
39	42
39	29
39	27
39	24
39	23
39	19
39	16
39	14
39	12
39	8
39	4
42	96
42	90
42	79
42	74
42	73
42	57
42	55
42	53
42	45
42	39
42	29
42	27
42	24
42	23
42	19
42	16
42	14
42	12
42	8
42	4
45	96
45	90
45	79
45	74
45	73
45	57
45	55
45	53
45	42
45	39
45	29
45	27
45	24
45	23
45	19
45	16
45	14
45	12
45	8
45	4
53	96
53	90
53	79
53	74
53	73
53	57
53	55
53	45
53	42
53	39
53	29
53	27
53	24
53	23
53	19
53	16
53	14
53	12
53	8
53	4
55	96
55	90
55	79
55	74
55	73
55	57
55	53
55	45
55	42
55	39
55	29
55	27
55	24
55	23
55	19
55	16
55	14
55	12
55	8
55	4
57	96
57	90
57	79
57	74
57	73
57	55
57	53
57	45
57	42
57	39
57	29
57	27
57	24
57	23
57	19
57	16
57	14
57	12
57	8
57	4
73	96
73	90
73	79
73	74
73	57
73	55
73	53
73	45
73	42
73	39
73	29
73	27
73	24
73	23
73	19
73	16
73	14
73	12
73	8
73	4
74	96
74	90
74	79
74	73
74	57
74	55
74	53
74	45
74	42
74	39
74	29
74	27
74	24
74	23
74	19
74	16
74	14
74	12
74	8
74	4
79	96
79	90
79	74
79	73
79	57
79	55
79	53
79	45
79	42
79	39
79	29
79	27
79	24
79	23
79	19
79	16
79	14
79	12
79	8
79	4
90	96
90	79
90	74
90	73
90	57
90	55
90	53
90	45
90	42
90	39
90	29
90	27
90	24
90	23
90	19
90	16
90	14
90	12
90	8
90	4
96	90
96	79
96	74
96	73
96	57
96	55
96	53
96	45
96	42
96	39
96	29
96	27
96	24
96	23
96	19
96	16
96	14
96	12
96	8
96	4
